perf/var1,perf/var2,time-step,ma/ma_var2
122,0,0,
297,0,1,
55,0,2,
813,3,3,
658,4,4,
235,5,5,
306,0,6,
377,0,7,
918,8,8,
763,9,9,2.9
427,0,10,2.9
307,0,11,2.9
608,0,12,2.9
890,13,13,3.9
931,14,14,4.9
490,15,15,5.9
766,0,16,5.9
975,17,17,7.6
131,0,18,6.8
762,19,19,7.8
358,0,20,7.8
308,0,21,7.8
221,0,22,7.8
800,0,23,6.5
424,0,24,5.1
992,25,25,6.1
46,0,26,6.1
352,0,27,4.4
70,0,28,4.4
225,29,29,5.4
743,0,30,5.4
430,31,31,8.5
96,0,32,8.5
260,33,33,11.8
894,0,34,11.8
777,0,35,9.3
670,0,36,9.3
375,0,37,9.3
317,38,38,13.1
611,0,39,10.2
139,0,40,10.2
339,41,41,11.2
50,0,42,11.2
751,0,43,7.9
874,44,44,12.3
642,0,45,12.3
987,0,46,12.3
375,0,47,12.3
941,48,48,13.3
511,49,49,18.2
518,50,50,23.2
913,51,51,24.2
807,0,52,24.2
802,0,53,24.2
898,0,54,19.8
303,0,55,19.8
203,0,56,19.8
816,0,57,19.8
545,0,58,15.0
734,59,59,16.0
559,60,60,17.0
724,0,61,11.9
579,62,62,18.1
261,0,63,18.1
920,0,64,18.1
56,0,65,18.1
368,66,66,24.7
466,67,67,31.4
440,68,68,38.2
698,69,69,39.2
898,0,70,33.2
545,71,71,40.3
747,0,72,34.1
135,0,73,34.1
60,74,74,41.5
938,0,75,41.5
39,0,76,34.9
380,0,77,28.2
301,78,78,29.2
8,79,79,30.2
847,0,80,30.2
220,0,81,23.1
52,0,82,23.1
64,0,83,23.1
986,0,84,15.7
4,0,85,15.7
427,86,86,24.3
752,87,87,33.0
153,0,88,25.2
2,89,89,26.2
838,90,90,35.2
169,0,91,35.2
415,92,92,44.4
845,0,93,44.4
991,94,94,53.8
54,0,95,53.8
566,96,96,54.8
317,0,97,46.1
54,98,98,55.9
404,0,99,47.0
743,0,100,38.0
233,0,101,38.0
594,0,102,28.8
646,103,103,39.1
776,0,104,29.7
813,105,105,40.2
717,106,106,41.2
916,0,107,41.2
878,108,108,42.2
153,0,109,42.2
666,110,110,53.2
321,111,111,64.3
297,0,112,64.3
443,0,113,54.0
579,0,114,54.0
109,0,115,43.5
950,116,116,44.5
216,0,117,44.5
101,118,118,45.5
348,119,119,57.4
267,120,120,58.4
682,0,121,47.3
493,122,122,59.5
433,0,123,59.5
75,124,124,71.9
267,125,125,84.4
752,0,126,72.8
862,127,127,85.5
558,0,128,73.7
34,129,129,74.7
807,0,130,62.7
376,131,131,75.8
244,132,132,76.8
421,0,133,76.8
883,0,134,64.4
158,0,135,51.9
1,0,136,51.9
982,137,137,52.9
758,138,138,66.7
798,139,139,67.7
143,140,140,81.7
727,0,141,68.6
423,142,142,69.6
482,0,143,69.6
406,0,144,69.6
734,145,145,84.1
979,0,146,84.1
31,0,147,70.4
86,148,148,71.4
425,0,149,57.5
518,0,150,43.5
762,151,151,58.6
888,0,152,44.4
900,153,153,59.7
576,154,154,75.1
291,0,155,60.6
750,156,156,76.2
85,157,157,91.9
871,158,158,92.9
245,0,159,92.9
60,0,160,92.9
162,161,161,93.9
396,162,162,110.1
799,163,163,111.1
573,164,164,112.1
321,0,165,112.1
60,166,166,113.1
538,0,167,97.4
123,168,168,98.4
335,169,169,115.3
119,0,170,115.3
372,0,171,99.2
83,172,172,100.2
165,173,173,101.2
634,0,174,84.8
833,175,175,102.3
573,176,176,103.3
204,0,177,103.3
187,0,178,86.5
391,179,179,87.5
898,0,180,87.5
683,181,181,105.6
530,182,182,106.6
595,183,183,107.6
251,0,184,107.6
451,0,185,90.1
