ma/ma_var2,time-step
,0
,1
,2
,3
,4
,5
,6
,7
,8
1.2,9
2.2,10
2.2,11
2.2,12
3.2,13
4.2,14
5.2,15
5.2,16
5.2,17
7.0,18
8.9,19
9.9,20
12.0,21
14.2,22
15.2,23
13.8,24
14.8,25
14.8,26
14.8,27
15.8,28
13.9,29
11.9,30
12.9,31
10.7,32
11.7,33
15.1,34
12.6,35
12.6,36
16.3,37
17.3,38
21.2,39
21.2,40
22.2,41
26.4,42
27.4,43
28.4,44
32.9,45
37.5,46
38.5,47
34.7,48
35.7,49
35.7,50
31.6,51
32.6,52
28.3,53
23.9,54
24.9,55
20.3,56
15.6,57
21.4,58
22.4,59
22.4,60
22.4,61
17.2,62
17.2,63
23.6,64
24.6,65
31.2,66
31.2,67
25.4,68
19.5,69
26.5,70
26.5,71
26.5,72
33.8,73
34.8,74
28.3,75
29.3,76
37.0,77
44.8,78
44.8,79
37.8,80
45.9,81
45.9,82
38.6,83
39.6,84
39.6,85
40.6,86
41.6,87
42.6,88
42.6,89
42.6,90
34.5,91
34.5,92
43.8,93
35.4,94
44.9,95
45.9,96
37.2,97
28.4,98
38.3,99
48.3,100
58.4,101
58.4,102
49.1,103
59.5,104
60.5,105
50.9,106
61.6,107
61.6,108
62.6,109
63.6,110
64.6,111
64.6,112
64.6,113
65.6,114
66.6,115
78.2,116
67.5,117
67.5,118
56.6,119
45.6,120
34.5,121
46.7,122
46.7,123
47.7,124
36.2,125
24.6,126
24.6,127
37.4,128
37.4,129
50.4,130
50.4,131
51.4,132
51.4,133
39.0,134
39.0,135
39.0,136
39.0,137
26.2,138
40.1,139
41.1,140
41.1,141
27.9,142
27.9,143
42.3,144
56.8,145
56.8,146
71.5,147
86.3,148
72.4,149
58.4,150
73.5,151
73.5,152
73.5,153
59.1,154
60.1,155
60.1,156
61.1,157
62.1,158
78.0,159
78.0,160
62.9,161
79.1,162
95.4,163
111.8,164
112.8,165
129.4,166
113.7,167
97.9,168
82.0,169
99.0,170
99.0,171
82.8,172
83.8,173
67.4,174
68.4,175
69.4,176
87.1,177
87.1,178
87.1,179
70.1,180
88.2,181
106.4,182
107.4,183
107.4,184
89.9,185
72.3,186
54.6,187
54.6,188
54.6,189
73.6,190
74.6,191
75.6,192
57.3,193
76.7,194
96.2,195
115.8,196
115.8,197
135.6,198
155.5,199
136.5,200
137.5,201
118.3,202
118.3,203
119.3,204
120.3,205
121.3,206
142.0,207
143.0,208
123.1,209
123.1,210
124.1,211
124.1,212
124.1,213
125.1,214
126.1,215
105.5,216
106.5,217
85.7,218
85.7,219
85.7,220
86.7,221
108.9,222
108.9,223
87.5,224
88.5,225
111.1,226
89.4,227
112.2,228
135.1,229
135.1,230
113.0,231
90.8,232
90.8,233
90.8,234
91.8,235
92.8,236
116.5,237
117.5,238
94.6,239
94.6,240
94.6,241
