rollout/ep_len_mean,rollout/ep_rew_mean,time-step,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss
23.227272727272727,23.227272727272727,2048,2348,1,0,2048,,,,,,,,,,
27.29,27.29,4096,1706,2,2,4096,0.008828652,0.098876953125,0.2,-0.6859486719593406,-0.0062770843505859375,0.0003,8.404836654663086,10,-0.01592741557979025,54.46504916548729
36.95,36.95,6144,1550,3,3,6144,0.010336123,0.070751953125,0.2,-0.6647812446579338,0.07416236400604248,0.0003,11.53685474395752,20,-0.018608967319596558,37.32872384190559
48.01,48.01,8192,1493,4,5,8192,0.008358482,0.084375,0.2,-0.6290434520691633,0.2407504916191101,0.0003,20.751750946044922,30,-0.018839554504666012,52.79786917567253
61.26,61.26,10240,1489,5,6,10240,0.0086098965,0.068212890625,0.2,-0.6063544051721692,0.32645219564437866,0.0003,14.356943130493164,40,-0.01627171917643864,59.64932736158371
74.01,74.01,12288,1469,6,8,12288,0.009019559,0.10322265625,0.2,-0.5978765709325671,0.5217855274677277,0.0003,23.279014587402344,50,-0.015400353334553075,58.699989980459215
88.08,88.08,14336,1433,7,10,14336,0.006821599,0.052685546875,0.2,-0.5750082431361079,0.5061449706554413,0.0003,23.345672607421875,60,-0.008497080525921774,57.4137746155262
108.29,108.29,16384,1373,8,11,16384,0.0036254083,0.0376953125,0.2,-0.5778214747086168,0.8055640310049057,0.0003,3.7304770946502686,70,-0.005181997484760359,36.80744529813528
122.36,122.36,18432,1369,9,13,18432,0.008833869,0.118896484375,0.2,-0.5836799157783389,0.9547112807631493,0.0003,6.705599784851074,80,-0.010530698936781846,14.33197863213718
140.66,140.66,20480,1373,10,14,20480,0.006612828,0.051611328125,0.2,-0.5756038596853614,0.8512089401483536,0.0003,4.661211013793945,90,-0.006456761173467385,31.642264984548092
159.28,159.28,22528,1359,11,16,22528,0.006498711,0.040185546875,0.2,-0.579975514113903,0.8907135799527168,0.0003,2.1090447902679443,100,-0.006777637488266919,18.582289625704288
175.03,175.03,24576,1358,12,18,24576,0.0071342136,0.065185546875,0.2,-0.5858961911872029,0.9337867051362991,0.0003,2.330127716064453,110,-0.010111152520403266,9.1094972204417
192.55,192.55,26624,1354,13,19,26624,0.006533617,0.086767578125,0.2,-0.5830444369465113,0.9465897083282471,0.0003,1.8671704530715942,120,-0.011544656268961262,10.302160838246346
213.91,213.91,28672,1357,14,21,28672,0.0069076098,0.090283203125,0.2,-0.5625506091862917,0.19056618213653564,0.0003,1.1775104999542236,130,-0.006877798389177769,25.90320923123509
230.65,230.65,30720,1355,15,22,30720,0.013225468,0.197705078125,0.2,-0.5580800065770746,0.0925987958908081,0.0003,1.0130025148391724,140,-0.008723489787371363,27.49137055631727
246.57,246.57,32768,1345,16,24,32768,0.0071492502,0.047802734375,0.2,-0.5307590048760176,-0.4591808319091797,0.0003,0.07134290039539337,150,-0.003917761202319525,1.122974761459045
263.65,263.65,34816,1331,17,26,34816,0.0043755136,0.03837890625,0.2,-0.5340778606943786,0.058508455753326416,0.0003,0.05244564637541771,160,-0.0035033986045164057,0.7081703702933737
280.93,280.93,36864,1319,18,27,36864,0.0038497713,0.017919921875,0.2,-0.5239954378455878,-0.02350032329559326,0.0003,0.031278613954782486,170,-0.0011741731512302067,0.4682658380654175
298.64,298.64,38912,1313,19,29,38912,0.0038634003,0.018994140625,0.2,-0.520560744125396,0.013379037380218506,0.0003,0.013255489990115166,180,-0.0017267352563067107,0.2767599702165171
