perf/episode_reward,time-step
-4.447281007654965,4048
,4048
-4.471659226343036,6098
,6098
-4.645204858854413,8148
,8148
-4.350088292732835,10198
,10198
-4.630558161064982,12248
,12248
-4.482616764609702,14298
,14298
-4.333261000923812,16348
,16348
-4.166176995262504,18398
,18398
-4.117424366995692,20448
,20448
-4.647942580282688,22498
,22498
-4.078758165240288,24548
,24548
-3.6173921590670943,26598
,26598
-3.843173406086862,28648
,28648
-4.362065440043807,30698
,30698
-4.167892183177173,32748
,32748
-3.057060887105763,34798
,34798
-3.22523513995111,36848
,36848
-4.139974678866565,38898
,38898
-3.508515816181898,40948
,40948
-4.110012287274003,42998
,42998
-2.924256935715676,45048
,45048
-2.8814176437444985,47098
,47098
-3.388261718675494,49148
,49148
-3.762985358014703,51198
,51198
-2.916374628432095,53198
,53198
-3.2093688305467367,55248
,55248
-4.143743271008134,57298
,57298
-3.6324300640262654,59348
,59348
-3.801154856570065,61398
,61398
-3.600314221344888,63448
,63448
-3.136142789851874,65498
,65498
-3.9073954578489065,67548
,67548
-3.664114886894822,69598
,69598
-3.140356075949967,71648
,71648
-3.456393516622484,73698
,73698
-3.029942374676466,75748
,75748
-3.046186364255845,77798
,77798
-2.323720713146031,79848
,79848
-2.9423443665727973,81898
,81898
-2.192593701649457,83948
,83948
-3.0683038886636496,85998
,85998
-2.40912609314546,88048
,88048
-2.6724207121878862,90098
,90098
-2.352549278177321,92148
,92148
-2.399627578444779,94198
,94198
-2.278007162269205,96248
,96248
-2.446314673870802,98298
,98298
-2.1529521360062063,100348
,100348
-1.9562071450054648,102398
,102398
-1.709330182522535,104398
,104398
