perf/mse,time-step
,0.0
,
,1.0
,
,2.0
,
,3.0
,
,4.0
,
,5.0
,
,6.0
,
,7.0
,
,8.0
,
0.26031023,9.0
,
0.21351269,10.0
,
0.18336979,11.0
,
0.15505561,12.0
,
0.13367245,13.0
,
0.12379172,14.0
,
0.1196655,15.0
,
0.10415129,16.0
,
0.09134625,17.0
,
0.07917899,18.0
,
0.07524745,19.0
,
0.06702645,20.0
,
0.061725102,21.0
,
0.057398804,22.0
,
0.055527873,23.0
,
0.05091731,24.0
,
0.04761921,25.0
,
0.043828513,26.0
,
0.041592363,27.0
,
0.039872997,28.0
,
0.037364412,29.0
,
0.035988085,30.0
,
0.036347017,31.0
,
0.035212535,32.0
,
0.032537967,33.0
,
0.03250489,34.0
,
0.031569332,35.0
,
0.029569631,36.0
,
0.026859771,37.0
,
0.024990764,38.0
,
0.02430394,39.0
,
0.023186047,40.0
,
0.020670911,41.0
,
0.0198818,42.0
,
0.019569468,43.0
,
0.018605178,44.0
,
0.01806185,45.0
,
0.01870245,46.0
,
0.018544752,47.0
,
0.017930094,48.0
,
0.016933622,49.0
,
0.016479034,50.0
,
0.016017461,51.0
,
0.015107287,52.0
,
0.014478793,53.0
,
0.013966963,54.0
,
0.013132383,55.0
,
0.012082603,56.0
,
0.011799296,57.0
,
0.01203368,58.0
,
0.011613684,59.0
,
0.011724345,60.0
,
0.011878715,61.0
,
0.012243206,62.0
,
0.012304836,63.0
,
0.012427358,64.0
,
0.012178169,65.0
,
0.012319158,66.0
,
0.012303159,67.0
,
0.012027314,68.0
,
0.011956895,69.0
,
0.011164153,70.0
,
0.011343891,71.0
,
0.011425108,72.0
,
0.01146083,73.0
,
0.011823762,74.0
,
0.011945274,75.0
,
0.011839587,76.0
,
0.011633513,77.0
,
0.011656511,78.0
,
0.01172599,79.0
,
0.011577224,80.0
,
0.011471375,81.0
,
0.011363814,82.0
,
0.011001265,83.0
,
0.010873512,84.0
,
0.01137321,85.0
,
0.01110844,86.0
,
0.011072291,87.0
,
0.010852053,88.0
,
0.011062831,89.0
,
0.011090169,90.0
,
0.011159094,91.0
,
0.01138119,92.0
,
0.01147932,93.0
,
0.011230049,94.0
,
0.01104031,95.0
,
0.010987503,96.0
,
0.011121065,97.0
,
0.010915167,98.0
,
0.010247631,99.0
,
0.010305108,100.0
,
0.010660535,101.0
,
0.010309954,102.0
,
0.010640209,103.0
,
0.010558878,104.0
,
0.010505226,105.0
,
0.010820939,106.0
,
0.010339354,107.0
,
0.010475488,108.0
,
0.010944723,109.0
,
0.010873228,110.0
,
0.010329481,111.0
,
0.0100920275,112.0
,
0.009621786,113.0
,
0.009209978,114.0
,
0.008970896,115.0
,
0.00884672,116.0
,
0.009148502,117.0
,
0.008988777,118.0
,
0.008639535,119.0
,
0.008648804,120.0
,
0.008502534,121.0
,
0.008378643,122.0
,
0.008391513,123.0
,
0.008633414,124.0
,
0.008756106,125.0
,
0.008520562,126.0
,
0.008229163,127.0
,
0.00833922,128.0
,
0.008834759,129.0
,
0.008692222,130.0
,
0.008742148,131.0
,
0.00919948,132.0
,
0.0093329735,133.0
,
0.0096267015,134.0
,
0.00945548,135.0
,
0.009729335,136.0
,
0.0101147685,137.0
,
0.009680775,138.0
,
0.0092971735,139.0
,
0.009679349,140.0
,
0.009776584,141.0
,
0.009558963,142.0
,
0.0096537825,143.0
,
0.009238768,144.0
,
0.009039121,145.0
,
0.009134624,146.0
,
0.008712808,147.0
,
0.008852864,148.0
,
0.008944349,149.0
,
0.008603865,150.0
,
0.008121284,151.0
,
0.007980691,152.0
,
0.0076287724,153.0
,
0.0076569216,154.0
,
0.00757899,155.0
,
0.0070884502,156.0
,
0.007514848,157.0
,
0.0074733854,158.0
,
0.007117582,159.0
,
0.007110757,160.0
,
0.0071210256,161.0
,
0.0069531323,162.0
,
0.0072190105,163.0
,
0.006955318,164.0
,
0.0070700618,165.0
,
0.007488442,166.0
,
0.007107269,167.0
,
0.007080859,168.0
,
0.007167834,169.0
,
0.0069548436,170.0
,
0.0070898533,171.0
,
0.007524592,172.0
,
0.0071449913,173.0
,
0.0071817026,174.0
,
0.007101299,175.0
,
0.0068930946,176.0
,
0.0066107744,177.0
,
0.0064534033,178.0
,
0.006479381,179.0
,
0.0063861934,180.0
,
0.0064704185,181.0
,
0.006569355,182.0
,
